num of runs,input 1,input 2,Objective
4,3.08,1.83,"[11.3164, -3.0511]"
4,0.31,-4.17,"[-4.0739, 37.7589]"
4,3.5,1.94,"[14.19, -3.4964]"
4,0.16,-3.92,"[-3.8944, 34.8864]"
4,3.87,1.8,"[16.7769, -3.83]"
4,4.08,2.08,"[18.726399999999998, -4.0736]"
4,4.74,2.26,"[24.727600000000002, -4.6724000000000006]"
4,4.72,1.68,"[23.958399999999997, -4.6175999999999995]"
4,4.31,1.83,"[20.406099999999995, -4.2810999999999995]"
4,0.03,-4.47,"[-4.4691, 41.83089999999999]"
4,3.68,1.96,"[15.502400000000002, -3.6784000000000003]"
4,0.26,-2.76,"[-2.6923999999999997, 22.397599999999997]"
4,-0.12,-0.17,"[-0.15560000000000002, 4.8289]"
4,0.03,-4.47,"[-4.4691, 41.83089999999999]"
4,-0.06,-0.49,"[-0.4864, 6.2601]"
4,1.08,1.8,"[2.9664, -1.04]"
4,-0.04,0.5,"[0.5016, 2.29]"
4,0.28,-2.36,"[-2.2816, 18.729599999999994]"
4,0.15,-3.8,"[-3.7775, 33.49]"
4,2.04,1.82,"[5.9816, -2.0076]"
4,0.63,1.86,"[2.2569, -0.6104]"
4,1.42,1.74,"[3.7564, -1.3523999999999998]"
4,0.06,-2.93,"[-2.9264, 24.244899999999998]"
4,0.02,-2.65,"[-2.6496, 21.602500000000003]"
4,0.07,-1.46,"[-1.4551, 11.9016]"
4,0.01,-2.22,"[-2.2199, 17.798400000000004]"
4,0.29,-3.19,"[-3.1059, 26.646099999999997]"
4,3.57,1.89,"[14.6349, -3.5578999999999996]"
4,0.38,0.12,"[0.26439999999999997, 3.1544]"
4,-0.06,-1.28,"[-1.2764, 10.818400000000002]"
4,1.74,1.94,"[4.9676, -1.7364]"
4,1.5,2.28,"[4.529999999999999, -1.4216000000000002]"
4,2.21,1.7,"[6.5841, -2.12]"
4,0.08,-3.07,"[-3.0635999999999997, 25.624900000000004]"
4,0.33,0.73,"[0.8389, 1.2829]"
4,-0.04,-2.93,"[-2.9284000000000003, 24.344899999999996]"
4,-0.26,-1.18,"[-1.1123999999999998, 10.372399999999997]"
4,-0.04,-1.02,"[-1.0184, 9.1604]"
4,4.24,1.67,"[19.647600000000004, -4.1311]"
4,3.0,1.82,"[10.82, -2.9676]"
4,0.06,-3.72,"[-3.7164, 32.65840000000001]"
4,-0.01,0.02,"[0.0201, 3.9303999999999997]"
4,-0.05,-0.84,"[-0.8375, 8.1156]"
4,0.67,1.3,"[1.7489000000000001, -0.1800000000000001]"
4,0.03,-0.64,"[-0.6391, 6.9396]"
4,0.2,-1.02,"[-0.98, 8.9204]"
4,0.02,-3.08,"[-3.0796, 25.7864]"
4,0.18,-1.68,"[-1.6476, 13.362399999999997]"
4,-0.03,-2.26,"[-2.2590999999999997, 18.177599999999998]"
4,-0.02,1.52,"[1.5204, 0.2504]"
4,0.25,-1.78,"[-1.7175, 14.038400000000001]"
4,4.22,1.98,"[19.7884, -4.2196]"
4,0.08,-1.8,"[-1.7936, 14.36]"
4,0.02,-0.73,"[-0.7296, 7.4329]"
4,0.02,-0.8,"[-0.7996000000000001, 7.819999999999999]"
4,-0.18,0.13,"[0.1624, 3.6769000000000007]"
4,1.73,1.8,"[4.7929, -1.69]"
